Mean,Std,Variance,RMS,Maximum,Minimum,Peak_to_Peak,Dominant_Frequency,Spectral_Energy,Label,File,Label_ID
14.02,20.66154882868175,426.8996000000001,24.96918100378945,75.0,0.0,75.0,5.5,2150340.0,Minor_Fault,Minor_fault_011_window_005.csv,1
14.28,20.73262163837463,429.8416,25.1745903640953,75.0,0.0,75.0,5.5,2152408.0,Minor_Fault,Minor_fault_011_window_006.csv,1
13.43,19.67447839206925,387.0851,23.82120903732638,73.0,0.0,73.0,5.5,1935606.0,Minor_Fault,Minor_fault_011_window_007.csv,1
8.27,14.762015445053564,217.91709999999995,16.920697385155258,57.0,0.0,57.0,5.0,1098698.0,Minor_Fault,Minor_fault_011_window_008.csv,1
10.59,18.27079363355626,333.8219,21.11800179941275,78.0,0.0,78.0,5.5,1672553.9999999998,Minor_Fault,Minor_fault_011_window_009.csv,1
15.39,21.650355655277348,468.7378999999999,26.56294411393436,78.0,0.0,78.0,5.5,2344002.0,Minor_Fault,Minor_fault_011_window_010.csv,1
12.14,18.31011742179717,335.26040000000006,21.969069165533615,75.0,0.0,75.0,5.5,1681103.9999999998,Minor_Fault,Minor_fault_011_window_011.csv,1
7.89,13.290519177218023,176.63790000000006,15.456066770042112,49.0,0.0,49.0,5.5,883454.0,Minor_Fault,Minor_fault_011_window_012.csv,1
20.01,33.63108532295679,1131.0499,39.13374502906667,141.0,0.0,141.0,6.0,5674654.0,Minor_Fault,Minor_fault_012_window_001.csv,1
17.42,28.48935941715784,811.6436,33.39311306242651,141.0,0.0,141.0,6.0,4066668.0,Minor_Fault,Minor_fault_012_window_002.csv,1
8.83,18.45971559910932,340.7611,20.462893246068603,92.0,0.0,92.0,6.0,1704026.0000000002,Minor_Fault,Minor_fault_012_window_003.csv,1
3.06,4.696424171643784,22.0564,5.605354582896608,21.0,0.0,21.0,4.5,110290.0,Minor_Fault,Minor_fault_012_window_004.csv,1
3.93,6.395709499344072,40.9051,7.506663706334526,34.0,0.0,34.0,4.5,205006.0,Minor_Fault,Minor_fault_012_window_005.csv,1
5.17,9.219604112975786,85.00110000000001,10.570241246064349,44.0,0.0,44.0,4.5,425118.00000000006,Minor_Fault,Minor_fault_012_window_006.csv,1
6.49,12.20941849557136,149.0699,13.827147211192914,55.0,0.0,55.0,5.5,745362.0,Minor_Fault,Minor_fault_012_window_007.csv,1
10.26,20.41010534024751,416.5724,22.843817544359787,82.0,0.0,82.0,6.0,2084013.9999999995,Minor_Fault,Minor_fault_012_window_008.csv,1
14.06,24.91618750932815,620.8164,28.60943900183993,99.0,0.0,99.0,6.0,3104131.9999999995,Minor_Fault,Minor_fault_012_window_009.csv,1
21.15,35.75790122476429,1278.6274999999996,41.5445543964549,159.0,0.0,159.0,6.0,6396102.0,Minor_Fault,Minor_fault_012_window_010.csv,1
30.99,45.79988973785854,2097.6299000000004,55.29927666796375,159.0,0.0,159.0,5.5,10490394.000000002,Minor_Fault,Minor_fault_012_window_011.csv,1
30.93,43.686440688158605,1908.5051,53.52728276309195,150.0,0.0,150.0,5.5,9555485.999999998,Minor_Fault,Minor_fault_012_window_012.csv,1
25.7,38.30835418025681,1467.5299999999995,46.130467155666224,123.0,0.0,123.0,5.5,7338041.999999998,Minor_Fault,Minor_fault_012_window_013.csv,1
19.82,31.428452077695457,987.7476,37.15615695951345,113.0,0.0,113.0,6.0,4939076.0,Minor_Fault,Minor_fault_013_window_001.csv,1
15.66,25.986234817687617,675.2844000000001,30.340072511449275,108.0,0.0,108.0,5.5,3378733.999999999,Minor_Fault,Minor_fault_013_window_002.csv,1
13.62,21.63505488784348,468.0755999999999,25.565210736467638,74.0,0.0,74.0,5.5,2343578.0,Minor_Fault,Minor_fault_013_window_003.csv,1
18.92,29.132003020733062,848.6736000000002,34.73672408273411,122.0,0.0,122.0,5.5,4244426.0,Minor_Fault,Minor_fault_013_window_004.csv,1
