Mean,Std,Variance,RMS,Maximum,Minimum,Peak_to_Peak,Dominant_Frequency,Spectral_Energy
0.98,1.2804686642007292,1.6396000000000002,1.61245154965971,4.0,0.0,4.0,1.0,8205.999999999998
0.68,1.147867588182539,1.3176,1.3341664064126333,4.0,0.0,4.0,19.0,6637.999999999998
0.74,1.4256226709757387,2.0323999999999995,1.606237840420901,9.0,0.0,9.0,3.0,10324.000000000002
14.85,22.02878798300079,485.2674999999999,26.56670849013856,76.0,0.0,76.0,5.0,2426558.0
0.58,1.031309846748299,1.0636,1.1832159566199232,5.0,0.0,5.0,1.0,5336.0
0.73,1.028153685010174,1.0571,1.2609520212918492,4.0,0.0,4.0,21.5,5310.0
0.67,1.0959470790143109,1.2011,1.284523257866513,5.0,0.0,5.0,1.0,6090.000000000001
0.89,1.1479982578383994,1.3178999999999998,1.452583904633395,6.0,0.0,6.0,1.0,6601.999999999998
31.8,45.361657818029535,2057.68,55.397833892671294,169.0,0.0,169.0,5.5,10288417.999999998
0.89,1.3920847675339316,1.9379000000000004,1.6522711641858303,8.0,0.0,8.0,1.0,9702.0
46.82,85.00498573613197,7225.8476,97.04617457684768,334.0,0.0,334.0,5.5,36146536.0
85.13,250.9300163392176,62965.87309999999,264.9773386537045,1018.0,0.0,1018.0,5.5,320964870.0
77.65,214.7519673949461,46118.4075,228.35921264534085,911.0,0.0,911.0,6.5,238829778.0
65.07,211.8119097218095,44864.28509999998,221.5815651176785,940.0,0.0,940.0,11.5,224323946.0
0.75,1.0897247358851685,1.1875,1.3228756555322954,4.0,0.0,4.0,10.5,5938.0
85.77,140.9489166329419,19866.597100000003,164.9942120196948,504.0,0.0,504.0,5.5,99417446.00000004
85.67,243.791962746929,59434.521100000005,258.4064047193877,934.0,0.0,934.0,6.0,297480718.00000006
80.6,140.24999108734374,19670.06,161.76037833783647,547.0,0.0,547.0,5.5,98411550.0
62.87,103.7046435797356,10754.653099999998,121.27361625679347,349.0,0.0,349.0,5.5,53805269.99999999
1.19,1.5407465722824114,2.3739000000000003,1.9467922333931784,9.0,0.0,9.0,1.0,11882.0
65.65,208.18459957451225,43340.82750000001,218.29051743032724,970.0,0.0,970.0,6.0,216712458.0
81.35,137.1801279340415,18818.3875,159.48733492036288,500.0,0.0,500.0,5.5,94103642.0
73.57,116.61700176217876,13599.525100000004,137.8842630614531,419.0,0.0,419.0,5.0,68006738.00000001
69.28,125.47542229456732,15744.0816,143.3310852536881,493.0,0.0,493.0,5.0,78724826.00000003
77.82,125.52325521591608,15756.0876,147.68899755905989,477.0,0.0,477.0,5.5,78844520.00000001
20.76,29.62570505490122,877.6823999999998,36.17540601016111,100.0,0.0,100.0,5.5,4390212.000000001
72.63,221.3675972223577,49003.6131,232.977960331015,1023.0,0.0,1023.0,6.5,250064730.0
